Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Core Processor","Core Size","Speed","Connectivity","Peripherals","Number of I/O","Program Memory Size","Program Memory Type","EEPROM Size","RAM Size","Voltage - Supply (Vcc/Vdd)","Data Converters","Oscillator Type","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"https://www.st.com/content/ccc/resource/technical/document/datasheet/e4/f3/1a/89/5a/02/46/ae/CD00220364.pdf/files/CD00220364.pdf/jcr:content/translations/en.CD00220364.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/100-LQFP.jpg","497-18767-2-ND,497-18767-1-ND,497-18767-6-ND","STM32F107VCT6TR","STMicroelectronics","STMicroelectronics","IC MCU 32BIT 256KB FLASH 100LQFP","2,083","11.58","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","STM32F1","Active","ARM® Cortex®-M3","32-Bit Single-Core","72MHz","CANbus, Ethernet, I²C, IrDA, LINbus, SPI, UART/USART, USB OTG","DMA, POR, PWM, Voltage Detect, WDT","80","256KB (256K x 8)","FLASH","-","64K x 8","2V ~ 3.6V","A/D 16x12b; D/A 2x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","100-LQFP","100-LQFP (14x14)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/39762f.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/100-TQFP-PT.jpg","PIC18F97J60-I/PT-ND","PIC18F97J60-I/PT","Microchip Technology","Microchip Technology","IC MCU 8BIT 128KB FLASH 100TQFP","790","8.6","0","1","Tray","PIC® 18J","Active","PIC","8-Bit","41.667MHz","EBI/EMI, Ethernet, I²C, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT","70","128KB (64K x 16)","FLASH","-","3808 x 8","2V ~ 3.6V","A/D 16x10b","Internal","-40°C ~ 85°C (TA)","Surface Mount","100-TQFP","100-TQFP (12x12)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-11157-32-bit-Cortex-M4-Microcontroller-SAM4E16-SAM4E8_Datasheet.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/100-LQFP.jpg","ATSAM4E16CA-AURTR-ND,ATSAM4E16CA-AURCT-ND,ATSAM4E16CA-AURDKR-ND","ATSAM4E16CA-AUR","Microchip Technology","Microchip Technology","IC MCU 32BIT 1MB FLASH 100LQFP","4,398","10.98","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SAM4E","Active","ARM® Cortex®-M4","32-Bit Single-Core","120MHz","CANbus, Ethernet, IrDA, MMC/SD, SPI, UART/USART, USB","Brown-out Detect/Reset, DMA, POR, PWM, WDT","79","1MB (1M x 8)","FLASH","-","128K x 8","1.62V ~ 3.6V","A/D 16x12b; D/A 2x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","100-LQFP","100-LQFP (14x14)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/39762f.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150~C04-110~PF~100.jpg","PIC18F97J60-I/PF-ND","PIC18F97J60-I/PF","Microchip Technology","Microchip Technology","IC MCU 8BIT 128KB FLASH 100TQFP","1,529","9.41","0","1","Tray","PIC® 18J","Active","PIC","8-Bit","41.667MHz","EBI/EMI, Ethernet, I²C, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT","70","128KB (64K x 16)","FLASH","-","3808 x 8","2V ~ 3.6V","A/D 16x10b","Internal","-40°C ~ 85°C (TA)","Surface Mount","100-TQFP","100-TQFP (14x14)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/32117S.pdf","//media.digikey.com/Renders/Atmel%20Renders/313;100TQFP-1.2-14x14;;100.jpg","AT32UC3C1128C-AURTR-ND,AT32UC3C1128C-AURCT-ND,AT32UC3C1128C-AURDKR-ND","AT32UC3C1128C-AUR","Microchip Technology","Microchip Technology","IC MCU 32BIT 128KB FLASH 100TQFP","1,000","12.02","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AVR®32 UC3 C","Active","AVR","32-Bit Single-Core","66MHz","CANbus, Ethernet, I²C, IrDA, LINbus, SPI, UART/USART, USB","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","81","128KB (128K x 8)","FLASH","-","32K x 8","3V ~ 5.5V","A/D 16x12b; D/A 4x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","100-TQFP","100-TQFP (14x14)"
"https://wizwiki.net/wiki/lib/exe/fetch.php?media=products:w7500:w7500x_ds_v106_20180205_2.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-TQFP.jpg","1278-1034-ND","W7500P-S2E","WIZnet","WIZnet","IC MCU 32BIT 128KB FLASH 64TQFP","850","10.63","0","1","Tray","-","Active","ARM® Cortex®-M0","32-Bit Single-Core","48MHz","Ethernet/TCP/IP, I²C, SSP, UART/USART","DMA, POR, PWM, WDT","34","128KB (32K x 32)","FLASH","6K x 8","16K x 8","2.7V ~ 5.5V","A/D 9x12b","External, Internal","0°C ~ 70°C (TA)","Surface Mount","64-LQFP","64-TQFP (7x7)"
"https://www.st.com/content/ccc/resource/technical/document/datasheet/03/b4/b2/36/4c/72/49/29/DM00071990.pdf/files/DM00071990.pdf/jcr:content/translations/en.DM00071990.pdf","//media.digikey.com/Renders/STMicro%20Renders/143-WLCSP.jpg","497-19354-2-ND,497-19354-1-ND,497-19354-6-ND","STM32F429ZIY6TR","STMicroelectronics","STMicroelectronics","IC MCU 32BIT 2MB FLASH 143WLCSP","17,875","17.31","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","STM32F4","Active","ARM® Cortex®-M4","32-Bit Single-Core","180MHz","CANbus, EBI/EMI, Ethernet, I²C, IrDA, LINbus, SPI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, LCD, POR, PWM, WDT","114","2MB (2M x 8)","FLASH","-","256K x 8","1.8V ~ 3.6V","A/D 24x12b; D/A 2x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","143-UFBGA, WLCSP","143-WLCSP (4.52x5.55)"
"https://www.st.com/resource/en/datasheet/stm32h730ab.pdf","//media.digikey.com/Renders/STMicro%20Renders/497;-A0E7-176+25;-H;-201.jpg","497-STM32H730IBK6Q-ND","STM32H730IBK6Q","STMicroelectronics","STMicroelectronics","IC MCU 32BIT 128KB FLSH 176UFBGA","559","12.21","0","1","Tray","STM32H7","Active","ARM® Cortex®-M7","32-Bit Single-Core","550MHz","CANbus, EBI/EMI, Ethernet, I²C, IrDA, LINbus, MDIO, MMC/SD/SDIO, QSPI, SAI, SPDIF, SPI, SWPMI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, LCD, POR, PWM, WDT","128","128KB (128K x 8)","FLASH","-","564K x 8","1.62V ~ 3.6V","A/D 12x12/b, 22x16b; D/A 2x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","201-UFBGA","176+25UFBGA (10x10)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MZ-Embedded-Connectivity-with-Floating-Point-Unit-Family-Data-Sheet-DS60001320H.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150~64TQFP-10x10~~64.JPG","PIC32MZ0512EFE064-E/PT-ND","PIC32MZ0512EFE064-E/PT","Microchip Technology","Microchip Technology","IC MCU 32BIT 512KB FLASH 64TQFP","159","12.97","0","1","Tray","Automotive, AEC-Q100, PIC® 32MZ","Active","MIPS32® M-Class","32-Bit Single-Core","180MHz","Ethernet, I²C, PMP, SPI, SQI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","46","512KB (512K x 8)","FLASH","-","128K x 8","2.1V ~ 3.6V","A/D 24x12b","Internal","-40°C ~ 125°C","Surface Mount","64-TQFP","64-TQFP (10x10)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/32058S.pdf","//media.digikey.com/Renders/Atmel%20Renders/313;100TQFP-1.2-14x14;;100.jpg","AT32UC3A1512-AURTR-ND,AT32UC3A1512-AURCT-ND,AT32UC3A1512-AURDKR-ND","AT32UC3A1512-AUR","Microchip Technology","Microchip Technology","IC MCU 32BIT 512KB FLASH 100TQFP","4,935","16.13","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AVR®32 UC3 A1","Active","AVR","32-Bit Single-Core","66MHz","Ethernet, I²C, SPI, SSC, UART/USART, USB OTG","Brown-out Detect/Reset, POR, PWM, WDT","69","512KB (512K x 8)","FLASH","-","64K x 8","1.65V ~ 3.6V","A/D 8x10b","Internal","-40°C ~ 85°C (TA)","Surface Mount","100-TQFP","100-TQFP (14x14)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/32058S.pdf","//media.digikey.com/Renders/Atmel%20Renders/313;100TQFP-1.2-14x14;;100.jpg","AT32UC3A1256-AUT-ND","AT32UC3A1256-AUT","Microchip Technology","Microchip Technology","IC MCU 32BIT 256KB FLASH 100TQFP","495","13.46","0","1","Tray","AVR®32 UC3 A1","Active","AVR","32-Bit Single-Core","66MHz","Ethernet, I²C, SPI, SSC, UART/USART, USB OTG","Brown-out Detect/Reset, POR, PWM, WDT","69","256KB (256K x 8)","FLASH","-","64K x 8","1.65V ~ 3.6V","A/D 8x10b","Internal","-40°C ~ 85°C (TA)","Surface Mount","100-TQFP","100-TQFP (14x14)"
