Favorite,Commercial Part No,Part No,Reference,Marketing Status,Unit Price for 10kU (US$),Frequency,Core,SPI,UART,Ethernet,Ethernet Port,Quad SPI Total,QUADSPI,OCTOSPI
,STM32MP151AAA3,STM32MP151A,STM32MP151AAAx,Active,6.0104,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151AAA3T,STM32MP151A,STM32MP151AAAx,Active,6.0104,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151AAC3,STM32MP151A,STM32MP151AACx,Active,5.2233,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151AAC3T,STM32MP151A,STM32MP151AACx,Active,5.2233,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151CAA3,STM32MP151C,STM32MP151CAAx,Active,6.547,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151CAA3T,STM32MP151C,STM32MP151CAAx,Active,6.547,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151CAC3,STM32MP151C,STM32MP151CACx,Active,5.7599,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151CAC3T,STM32MP151C,STM32MP151CACx,Active,5.7599,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151DAA1,STM32MP151D,STM32MP151DAAx,Active,6.3681,800 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151DAC1,STM32MP151D,STM32MP151DACx,Active,5.5811,800 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151FAA1,STM32MP151F,STM32MP151FAAx,Active,6.9048,800 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP151FAC1,STM32MP151F,STM32MP151FACx,Active,6.1177,800 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP153AAA3,STM32MP153A,STM32MP153AAAx,Active,8.5795,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP153AAA3T,STM32MP153A,STM32MP153AAAx,Active,8.5795,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP153AAC3,STM32MP153A,STM32MP153AACx,Active,7.6097,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP153AAC3T,STM32MP153A,STM32MP153AACx,Active,7.6097,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP153CAA3,STM32MP153C,STM32MP153CAAx,Active,9.2407,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP153CAA3T,STM32MP153C,STM32MP153CAAx,Active,9.2407,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP153CAC3,STM32MP153C,STM32MP153CACx,Active,8.2709,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
,STM32MP153CAC3T,STM32MP153C,STM32MP153CACx,Active,8.2709,650 MHz,Arm Cortex-A7,6,4,1Gbps (IEEE 1588),1,1,1,0
